EventKey,UserID,Question,Responses
259807,-7900267992628119157,Please provide any additional comments.,For some reason the 2017 session landed with me better than this year. I don't feel like I got a focused presentation from the product teams...I know MS Teams had to have a separate session at 4pm. It was tricky to follow the track. Also wish the D&T session would have been at a different time. I wanted to be in two places at once.
259807,-7864375293128633778,Please provide any additional comments.,"Why did you have some of the most valuable sessions of the conference for people already using and investing your software, on the last day? Very frustrating. Felt like there was far more time spent ‘marketing’ new products than providing technical deep dives and help for products that have existed, and will continue to exist, for years to come."
259807,-7860695677977504036,Please provide any additional comments.,Awesome and creative format.  Informative and entertaining -- the hallmarks of any effective presentation!
259807,-7821296990719416463,Please provide any additional comments.,great session and nice room.
259807,-7806206906725756323,Please provide any additional comments.,This is a 16hr video of nothing.
259807,-7780906627308813036,Please provide any additional comments.,The scotts are great and the banter makes its enjoyable
259807,-7748977434740154086,Please provide any additional comments.,was both valuable and also very entertaining! more this type of presentations!
259807,-7693020114238043244,Please provide any additional comments.,The panel AMA style of this session was fantastic!
259807,-7678295333030982136,Please provide any additional comments.,"Something for every session - a slide to get people to move to the middle of the row.  I don't know why everyone sits on the ends and expects everyone to climb past them.  Not Microsoft's fault, but it would help people if you could put it out as a public service announcement."
259807,-7538744330324388519,Please provide any additional comments.,Scott was awesome as usually
259807,-7527885561825920282,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","It would have been helpful before arriving to the classroom to know that the room was filled and it would be best to watch the session in the hang out area.    Also, I found a vendor to rent a bicycle but there were no bike racks or valet services for bikes.  I wish this was easier to do through the event."
259807,-7524153052905166569,Please provide any additional comments.,it was pretty warm/stuffy in the room.
259807,-7678295333030982136,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","I am very excited that Microsoft has extended support for all supported W10 releases to 30 months total, and that all fall releases going forward will be 30 months of support.  Thanks for listening to our woes!  Could you consider doing the same for W10 Pro, please?    Also, thank you for the tools you have provided to assess failed upgrades.  These things all make my job easier.    As for logistics, I certainly noticed that the timing and location of sessions improved dramatically.  A lot less walking and worrying about how short the gap is between sessions.    Meals overall were delicious, and I could tell Microsoft did indeed listen to feedback and plan accordingly.  Outstanding conference - best one yet!  Good on you, Microsoft!"
259807,-7665584671174750003,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","food was much better, keep that up. Popular speakers I believe are well known now that they should be put into larger rooms. Sami Laiho has been filling up rooms for the last 3 years Ive been at ignite but he still seems to be in smaller rooms leaving a lot of people missing his session. Otherwise the location(s) are perfect. Bag was great, keep that up. The expo and additional common areas all being in the area they where this year was the best. "
259807,-7650862430320185537,Please provide any additional comments.,Great demos Cosmo is awesome!
259807,-7636945283085636391,Please provide any additional comments.,T
259807,-7617682436797837057,Please provide any additional comments.,Needed a bigger room based on attendance.
259807,-7609812154965378429,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.",Thanks 
259807,-7593313507104756578,Please provide any additional comments.,I am new to yammer. We are considering using it but after the session I still don’t have a good idea of what it is.
259807,-7593313507104756578,Please provide any additional comments.,The speaker was very difficult to understand due to his thick accent. There was not enough space for everyone who attended.
259807,-7583312196673870563,Please provide any additional comments.,one of the most impressive sessions I attended throughout the week.
259807,-7573288632588377792,Please provide any additional comments.,There were frequent audio issues with one of the speakers (mic cut off). Otherwise it was great
259807,-7563708475730398127,Please provide any additional comments.,Did expect the Oracle Migration to end with unaltered Oracle DB. Daydreaming?
259807,-7563483063280085861,Please provide any additional comments.,Still looking for the “How To Deploy” information.
259807,-7548846154723345746,Please provide any additional comments.,Elisabeth rocks!
259807,-7519045926290868526,What one specific improvement could this event make that would have the greatest impact on the overall value?,add a virtual only attendance option.
259807,-7507134931437329018,What one specific improvement could this event make that would have the greatest impact on the overall value?,"Better App experience, No presentations in Expo hall.  Maybe define disciplines per building to help with getting to class."
259807,-7475721014751447380,Please provide any additional comments.,"Excellent presenters, pitched at just the right level for a newbie! Great resource links and pointers to take away and give it a go."
259807,-7471574590089171727,What one specific improvement could this event make that would have the greatest impact on the overall value?,"All the emails that were sent out from Ignite (vendor or Microsoft) should have been in the App for Ignite. If a vendor wanted me to know something for that day, or the next, why couldn't they send it directly to me via the App? I already gave them permissions to contact me. Just be sure to filter Ignite specific notifications from Vendor notifications."
259807,-7452741478409937218,Please provide any additional comments.,Ned is an excellent speaker and seems to be more on the admin level of thinking.  I really enjoyed this lecture.
259807,-7431971693027106372,Please provide any additional comments.,Best session of 2018
259807,-7422747793021061372,Please provide any additional comments.,"Buck said, to fill this out and say Buck is awesome. He diddnt need to say it, becasue buck was really awesome!!!"
259807,-7416005109883377525,Please provide any additional comments.,Did not attend. Will not let me remove.
259807,-7411023881951760162,Please provide any additional comments.,"It was a bit rushed, shouldn't have worried about roadmap."
259807,-7380744697134705390,Please provide any additional comments.,"This was probably the best session I’ve attended so far at Ignite! The speakers were very clear and engaging, also spoke at a pace where I was able to absorb the information. I loved that they provided a QR code for the link to the slides before the presentation so I didn’t have to take many notes and was able to listen to what they had to say. Thanks for a great discussion and demo!"
259807,-7361186733053275868,Please provide any additional comments.,Great demos!
259807,-7338324830523284947,Please provide any additional comments.,It was freezing cold in the overflow area and the keynote didn't tell me much I didn't already know but it was well delivered.
259807,-7336390635919107467,Please provide any additional comments.,bit of a shame that devices must be running W10 1809 to create our install msix apps but I'm still excited to start using this application platform in the future.  good content and a nice presentation.
259807,-7298429737945185754,Please provide any additional comments.,The streaming disconnect very often.
259807,-7258825486510145027,What one specific improvement could this event make that would have the greatest impact on the overall value?,more bean bag chairs on the Hangout.  Loved the more spacious leather chairs though.  
259807,-7213877840869883544,What one specific improvement could this event make that would have the greatest impact on the overall value?,The food was awful.
259807,-7181456124539081694,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.",Orlando is to hot
259807,-7125854975408001193,Please provide any additional comments.,"Great info, and quite a feat with all the demos.  Bravo."
259807,-7116675280196523402,Please provide any additional comments.,Very good presentation.  Even better when I went to the Fast Track booth and got one on one advice from two Fast Track consultants.
259807,-7086732861903566166,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.",Session content was excellent and professionally delivered. I appreciate that sessions were condensed to a smaller area so I didn’t have to walk so far to each. 
259807,-7073685304034244659,Please provide any additional comments.,The size of the screen made it difficult to see the detail of the demonstration
259807,-7069595116310882806,Please provide any additional comments.,"The session explained how to use ML, but failed to explain what it actually did."
259807,-7047787544728666563,Please provide any additional comments.,"The content was great!  My only issue was that I had a very difficult time understanding Joseph, the main presenter.  Mark on the other hand was awesome."
259807,-7037608168547044798,Please provide any additional comments.,It was hard to understand the dialect or accent.
259807,-7026265839361810795,Please provide any additional comments.,A little bit of hands on with the azure stack sdk would have been nice
259807,-7007511609474971538,What one specific improvement could this event make that would have the greatest impact on the overall value?,The event is too overcrowded it be nice if it was split between development and IT Pros
259807,-6991150519479323747,Please provide any additional comments.,The size is simply overwhelming for first time attendees I wonder if smaller conferences to first time attendees wouldn’t be more beneficial and then veterans could attend these massive conferences???
259807,-6987777668190636814,Please provide any additional comments.,It was really cold. Audio and Video was out of sync. Live presentation was ok.
259807,-6983204807455097910,Please provide any additional comments.,"A little bit to deep for me, but i das Some valuable stuff"
259807,-6941302718424769822,Please provide any additional comments.,"The audio/video experienced several interruptions and it had to be streamed because once again, the room was too full."
259807,-6924560860222779923,Please provide any additional comments.,would be good to hear about MFA more and fido
259807,-5975573457454861756,What one specific improvement could this event make that would have the greatest impact on the overall value?,Make it easier to view schedules and plan what I'm going to attend. Problems experienced included truncated session names and not having a very easy way to plan out what to attend so that back-to-back sessions are near each other.
259807,-5966974995493173735,Please provide any additional comments.,Excellent presentation as always by these 2 presenters. Power BI keep improving.
259807,-5962932398346016178,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.",Microsoft did a great job organizing accessible shuttles and making the event accessible. 
259807,-5936691883085423698,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","Only really two main points.  I felt the Keynote was just customer success stories but should have been informational teasers of what's to come.  Get everyone excited about the new products and features.  That's why we were there.  Instead of leaving with a general feeling of excitement I felt it could have been time better spent.  The second point was the overlap.  Even though the sessions were different, the demo ended up being almost identical in many cases. "
259807,-5883135959146716512,Please provide any additional comments.,looking forward to testing the product when I return to work
259807,-5872881839145399592,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","I work for a local government, and felt like a small fish in a very big pond. Many vendors/partners help propagate that feeling. Most of the MS staff did not make me feel this way.    I wish there were more government related sessions that are focused on the government segment/solutions. "
259807,-5862974568209594803,Please provide any additional comments.,i liked mark's real life examples and demonstrations
259807,-5824510199069851120,Please provide any additional comments.,"The Microsoft part was very high level and basic knowledge (like use aad connect, duh of course you need that) and the partner part was awful. He had no message whatsoever, was all about him being important. Please never invite him again."
259807,-5814255759606461786,Please provide any additional comments.,I came to learn about Azure IoT not Field Service.
259807,-5803680717859048690,Please provide any additional comments.,Temperature too low
259807,-5801117972096475871,Please provide any additional comments.,"The whole session was more about Polaris (the company used for demo), disappointing."
259807,-5797608014447417526,Please provide any additional comments.,Awesome content. Great demos. Thanks to all presenters.
259807,-5783390236634526212,Please provide any additional comments.,was expecting  more of a deeper dive
259807,-5766417763874357138,Please provide any additional comments.,Still too cold here. *freezing*
259807,-5757845391144180351,Please provide any additional comments.,Stream quality was poor. Was in an overflow and the streams didn’t match. One was louder than ours so you could hear two streams and it was bad.
259807,-5744189580658463625,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","Keynote was disappointing - felt like the Envision keynote was presented at Ignite, only vision talk, no new announcements.     Overall the content presented was great, glad to hear about the security updates in Office 365.    This time it was definitely an improvement in managing people - most of the sessions were at one side of the conference center, hence less walking, which was great!     Thanks for providing awesome hot lunch/food this time! Much appreciated! There was a good variety of food options too. Toasters and Bagels were a great touch.    Negative Feedback:  1) This year the quality of Microsoft giveaways went down, there were cool giveaways this year at all, last two years had better quality of cool products such as Bluetooth speakers etc.    2) Having the Microsoft Store on the floor was certainly a good idea but there was no discount on the products, if you can't give discounts day one (which is most of the population gets one-day passes), you could give discounts on the last day, incentive for those who have booked the conference pass.        "
259807,-5705963063768253476,Please provide any additional comments.,not a clear explanation for beginners in this topic.
259807,-5682377379479989329,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.",All the sessions I attended were very interesting and information that I am able to bring back to my employer for my IT staff.  I really enjoyed the Immersion Workshops and all the sessions I attended.  I am able to share this knowledge with my IT staff.
259807,-5651273727899369872,Please provide any additional comments.,Thank you for hanging around and answering questions after we got kicked out of the room. we took away a lot of great info to aid in getting the security team on board with external sharing. thank you!
259807,-5474964889974820535,Please provide any additional comments.,Best session I attended
259807,-5624053592357053102,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","* Include more ""chalk talk"" sessions with product teams  * Include more sessions on monitoring (OMS, Azure Monitoring, and Azure Alerts)  * Include better more detailed descriptions for all sessions  * Improve the food  * Include the pre-day sessions as part of the all access cost  * Include more sessions in hangouts  * Label all sessions in hangouts with session names (not just session IDs - who remembers IDs?)  * Improve directions/signage - at times, especially the first day or two, it was a challenge to figure out how to get from one session to another."
259807,-5593266110195093988,What one specific improvement could this event make that would have the greatest impact on the overall value?,Sessions for beginners.
259807,-5587308514136341579,What one specific improvement could this event make that would have the greatest impact on the overall value?,Ability to 'flag' sessions that i do not plan to attend but will want to watch when the audio/presentation becomes available. This will help me keep my schedule cleaner and help Microsoft better predict how many plan to attend sessions. 
259807,-5549800622450031146,What one specific improvement could this event make that would have the greatest impact on the overall value?,Changing the date from end of quarter. But you already did that so well done!
259807,-5534985401444305058,Please provide any additional comments.,Great!
259807,-5530379358904496135,Please provide any additional comments.,"I didn't really learn anything new here. I was hoping for more, including roadmap stuff."
259807,-5512209667260465633,Please provide any additional comments.,Maybe
259807,-5496875137559390386,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","keynote should have presented something new, not just data sharing between some big companies; have hotels give free parking to attendees"
259807,-5455913317275376153,Please provide any additional comments.,MS needs to hold more of this type of session. Understanding what processes MS takes with all of their applications/hardware provides us the comfort and knowledge that MS cares about its customers and listens to their ideas. Brilliant!!!
259807,-5412087890297321591,Please provide any additional comments.,Don't do this amymore.
259807,-5407254704810313146,Please provide any additional comments.,Great presentation
